date,close,return
2013/1/2,10.33,0.002908388
2013/1/3,10.33,0
2013/1/4,10.11,-0.02152725
2013/1/7,10.18,0.006899978
2013/1/8,10.05,-0.012852377
2013/1/9,10.11,0.005952399
2013/1/10,10.18,0.006899978
2013/1/11,10.21,0.002942621
2013/1/14,10.37,0.01554939
2013/1/15,10.33,-0.003864739
2013/1/16,10.3,-0.002908388
2013/1/17,10.18,-0.011718884
2013/1/18,10.24,0.005876608
2013/1/21,10.3,0.005842276
2013/1/22,10.3,0
2013/1/23,10.08,-0.021590633
2013/1/24,10.08,0
2013/1/25,10.08,0
2013/1/28,10.46,0.037005196
2013/1/29,10.46,0
2013/1/30,10.59,0.012351701
2013/1/31,10.71,0.011267725
2013/2/1,10.81,0.009293747
2013/2/4,11,0.017423641
2013/2/5,11.1,0.009049836
2013/2/6,11.06,-0.003610112
2013/2/18,11.38,0.028522433
2013/2/19,11.32,-0.005286356
2013/2/20,11.41,0.007919091
2013/2/21,11.22,-0.016792264
2013/2/22,11.35,0.011519844
2013/2/23,11.32,-0.002646671
2013/2/25,11.19,-0.01155055
2013/2/26,11.1,-0.008075414
2013/2/27,11.25,0.01342302
2013/3/1,11.22,-0.002670229
2013/3/4,11.06,-0.014362904
2013/3/5,11.1,0.003610112
2013/3/6,11.03,-0.006326275
2013/3/7,11.19,0.014401689
2013/3/8,11.41,0.019469642
2013/3/11,11.29,-0.010572786
2013/3/12,11.38,0.007940051
2013/3/13,11.41,0.002632735
2013/3/14,11.32,-0.007919091
2013/3/15,11.22,-0.008873173
2013/3/18,10.97,-0.022533626
2013/3/19,11.22,0.022533626
2013/3/20,11.35,0.011519844
2013/3/21,11.32,-0.002646671
2013/3/22,11.35,0.002646671
2013/3/25,11.38,0.002639685
2013/3/26,11.41,0.002632735
2013/3/27,11.6,0.016514934
2013/3/28,11.44,-0.013889112
2013/3/29,11.38,-0.005258557
2013/4/1,11.29,-0.007940051
2013/4/2,11.13,-0.014273213
2013/4/3,11.32,0.016926907
2013/4/8,11.16,-0.014235116
2013/4/9,11.1,-0.005390849
2013/4/10,11.1,0
2013/4/11,11.19,0.008075414
2013/4/12,11.29,0.008896856
2013/4/15,11.19,-0.008896856
2013/4/16,11.29,0.008896856
2013/4/17,11.13,-0.014273213
2013/4/18,11.1,-0.002699057
2013/4/19,11.29,0.01697227
2013/4/22,11.29,0
2013/4/23,11.35,0.005300366
2013/4/24,11.41,0.00527242
2013/4/25,11.29,-0.010572786
2013/4/26,11.25,-0.00354925
2013/4/29,11.35,0.008849615
2013/4/30,11.29,-0.005300366
2013/5/2,11.13,-0.014273213
2013/5/3,11.19,0.005376357
2013/5/6,11.19,0
2013/5/7,11.19,0
2013/5/8,11.22,0.002677378
2013/5/9,11.22,0
2013/5/10,11.22,0
2013/5/13,11.22,0
2013/5/14,11.32,0.008873173
2013/5/15,11.38,0.005286356
2013/5/16,11.48,0.008748962
2013/5/17,11.48,0
2013/5/20,11.41,-0.006116227
2013/5/21,11.41,0
2013/5/22,11.41,0
2013/5/23,11.22,-0.016792264
2013/5/24,11.16,-0.005361943
2013/5/27,11.22,0.005361943
2013/5/28,11.38,0.014159529
2013/5/29,11.6,0.019147669
2013/5/30,11.41,-0.016514934
2013/5/31,11.73,0.027659499
2013/6/3,11.48,-0.021543272
2013/6/4,11.35,-0.011388647
2013/6/5,11.41,0.00527242
2013/6/6,11.38,-0.002632735
2013/6/7,11.35,-0.002639685
2013/6/10,11.41,0.00527242
2013/6/11,11.35,-0.00527242
2013/6/13,11.48,0.011388647
2013/6/14,11.44,-0.003490405
2013/6/17,11.35,-0.007898242
2013/6/18,11.38,0.002639685
2013/6/19,11.54,0.013961832
2013/6/20,11.48,-0.00521287
2013/6/21,11.32,-0.014035318
2013/6/24,11.29,-0.002653695
2013/6/25,11.16,-0.011581421
2013/6/26,11.41,0.022154207
2013/6/27,11.35,-0.00527242
2013/6/28,11.6,0.021787354
2013/7/1,11.6,0
2013/7/2,11.48,-0.010398707
2013/7/3,11.38,-0.008748962
2013/7/4,11.25,-0.0114893
2013/7/5,11.29,0.00354925
2013/7/8,11.38,0.007940051
2013/7/9,11.48,0.008748962
2013/7/10,12.01,0.045133245
2013/7/11,12.27,0.021417623
2013/7/12,12.27,0
2013/7/15,12.49,0.017771065
2013/7/16,12.46,-0.002404811
2013/7/17,12.74,0.022223137
2013/7/18,12.81,0.005479466
2013/7/19,12.68,-0.010200167
2013/7/22,12.71,0.002363136
2013/7/23,13,0.022560272
2013/7/24,12.9,-0.007722046
2013/7/25,12.9,0
2013/7/26,12.74,-0.012480661
2013/7/29,12.81,0.005479466
2013/7/30,12.87,0.004672906
2013/7/31,12.68,-0.014873073
2013/8/1,12.84,0.012539349
2013/8/2,12.78,-0.004683849
2013/8/5,12.84,0.004683849
2013/8/6,12.68,-0.012539349
2013/8/7,12.33,-0.027990632
2013/8/8,12.33,0
2013/8/9,12.17,-0.01306141
2013/8/12,12.43,0.021138999
2013/8/13,12.55,0.00960776
2013/8/14,12.65,0.00793655
2013/8/15,12.5,-0.011928571
2013/8/16,12.71,0.016660441
2013/8/19,12.57,-0.011076063
2013/8/20,12.82,0.019693429
2013/8/22,12.68,-0.010980502
2013/8/23,13.03,0.027228442
2013/8/26,12.82,-0.01624794
2013/8/27,12.92,0.007770047
2013/8/28,12.82,-0.007770047
2013/8/29,12.96,0.010861239
2013/8/30,13.42,0.034878441
2013/9/2,13.42,0
2013/9/3,13.56,0.010378151
2013/9/4,13.81,0.018268685
2013/9/5,14.2,0.027848997
2013/9/6,14.38,0.012596388
2013/9/9,14.34,-0.002785517
2013/9/10,14.13,-0.014752638
2013/9/11,14.41,0.019622213
2013/9/12,14.48,0.004845977
2013/9/13,14.16,-0.022347299
2013/9/14,14.13,-0.002120892
2013/9/16,14.31,0.012658397
2013/9/17,14.41,0.006963816
2013/9/18,14.52,0.007604599
2013/9/23,14.45,-0.004832595
2013/9/24,13.99,-0.032351626
2013/9/25,13.99,0
2013/9/26,14.02,0.002142093
2013/9/27,13.77,-0.017992569
2013/9/30,13.56,-0.01536803
2013/10/1,13.56,0
2013/10/2,13.6,0.00294551
2013/10/3,13.67,0.005133858
2013/10/4,13.7,0.002192182
2013/10/7,13.6,-0.00732604
2013/10/8,13.95,0.025409716
2013/10/9,13.95,0
2013/10/11,14.06,0.007854378
2013/10/14,13.99,-0.004991098
2013/10/15,13.99,0
2013/10/16,13.99,0
2013/10/17,13.95,-0.00286328
2013/10/18,14.16,0.01494158
2013/10/21,14.16,0
2013/10/22,14.23,0.004931324
2013/10/23,14.16,-0.004931324
2013/10/24,14.13,-0.002120892
2013/10/25,14.09,-0.002834871
2013/10/28,14.16,0.004955762
2013/10/29,13.95,-0.01494158
2013/10/30,14.02,0.005005373
2013/10/31,13.92,-0.007158227
2013/11/1,13.92,0
2013/11/4,13.95,0.002152853
2013/11/5,13.74,-0.015168221
2013/11/6,13.88,0.010137668
2013/11/7,13.77,-0.007956642
2013/11/8,13.74,-0.002181026
2013/11/11,13.46,-0.020588963
2013/11/12,13.46,0
2013/11/13,13.56,0.007401958
2013/11/14,13.74,0.013187004
2013/11/15,13.74,0
2013/11/18,14.06,0.0230226
2013/11/19,14.13,0.00496631
2013/11/20,14.13,0
2013/11/21,14.16,0.002120892
2013/11/22,14.09,-0.004955762
2013/11/25,14.45,0.025229089
2013/11/26,14.09,-0.025229089
2013/11/27,13.92,-0.012138671
2013/11/28,14.06,0.010007231
2013/11/29,14.06,0
2013/12/2,14.09,0.00213144
2013/12/3,14.06,-0.00213144
2013/12/4,13.95,-0.007854378
2013/12/5,14.02,0.005005373
2013/12/6,13.85,-0.012199649
2013/12/9,13.99,0.010057556
2013/12/10,13.92,-0.005016134
2013/12/11,13.92,0
2013/12/12,13.67,-0.018123004
2013/12/13,13.74,0.005107636
2013/12/16,13.74,0
2013/12/17,13.7,-0.002915454
2013/12/18,13.67,-0.002192182
2013/12/19,13.88,0.015245304
2013/12/20,13.92,0.0028777
2013/12/23,14.02,0.007158227
2013/12/24,13.88,-0.010035927
2013/12/25,13.85,-0.002163722
2013/12/26,13.99,0.010057556
2013/12/27,14.06,0.004991098
2013/12/30,14.09,0.00213144
2013/12/31,14.02,-0.004980444
2014/1/2,14.09,0.004980444
2014/1/3,13.95,-0.009985818
